InvoiceNumber,IssueDate,PartnerName,PartnerTaxNumber,Direction,NetAmount,VatCode,VatAmount,GrossAmount,Currency
INV-2026-001,2026-06-03,Kovács Kft.,12345678-2-41,OUT,100000,27,27000,127000,HUF
INV-2026-002,2026-06-04,Szabó Zrt.,23456789-2-42,OUT,200000,27,54000,254000,HUF
INV-2026-003,2026-06-05,Molnár Bt.,34567890-2-13,OUT,60000,18,10800,70800,HUF
INV-2026-004,2026-06-08,Nagy Könyvesbolt Kft.,45678901-2-41,OUT,50000,5,2500,52500,HUF
INV-2026-005,2026-06-10,Trans-Europe Kft.,56789012-2-44,OUT,120000,0,0,120000,HUF
INV-2026-006,2026-06-12,Kis János e.v.,55667788-1-03,OUT,30000,AAM,0,30000,HUF
INV-2026-007,2026-06-15,Berlin Handel GmbH,DE123456789,OUT,200000,EUFAD,0,200000,HUF
SUP-2026-101,2026-06-06,Office Depot Kft.,11223344-2-42,IN,80000,27,21600,101600,HUF
SUP-2026-102,2026-06-16,IT Solutions Zrt.,22334455-2-41,IN,100000,27,27000,127000,HUF
SUP-2026-103,2026-06-20,Papír-Írószer Bt.,33445566-2-13,IN,40000,5,2000,42000,HUF
